cycle,set,way,pc_sig,recency,hits,prefetch,dirty,reused,access_type,hit
1873,12,0,1484,0,1,0,0,1,0,1
1874,139,0,1528,0,0,0,0,0,0,0
1875,139,0,1528,0,0,0,0,0,0,0
1875,11,0,1528,0,0,0,0,0,0,0
1877,1583,0,1533,0,0,0,0,0,0,0
1878,559,0,1533,0,0,0,0,0,0,0
1878,47,0,1492,0,0,0,0,0,0,0
1878,13,0,3216,0,21,0,0,1,0,1
1878,3,0,1528,0,1,0,0,1,0,1
1878,1584,0,1547,0,0,0,0,0,0,0
1879,560,0,1547,0,0,0,0,0,0,0
1879,50,0,3216,0,5,0,0,1,0,1
1879,48,0,1547,0,0,0,0,0,0,0
1879,11,0,1528,0,1,0,0,1,0,1
1879,2,0,1533,0,1,0,0,1,0,1
1879,1570,0,1568,0,0,0,0,0,0,0
1880,546,0,1568,0,0,0,0,0,0,0
1880,34,0,1568,0,0,0,0,0,0,0
1880,47,0,1533,0,1,0,0,1,0,1
1880,3,0,1542,0,2,0,0,1,0,1
1881,12,0,1542,0,2,0,0,1,0,1
1881,2,0,1547,0,2,0,0,1,0,1
1882,48,0,1547,0,1,0,0,1,0,1
1882,2,0,1568,0,3,0,0,1,0,1
1883,34,0,1568,0,1,0,0,1,0,1
1883,13,0,3219,0,22,0,0,1,0,1
1883,2,0,1568,0,4,0,0,1,0,1
1884,50,0,3219,0,6,0,0,1,0,1
1884,2,0,1584,0,5,0,0,1,0,1
1885,13,0,3258,0,23,0,0,1,0,1
1885,2,0,1725,0,6,0,0,1,0,1
1886,50,0,3258,0,7,0,0,1,0,1
1886,51,0,3267,0,2,0,0,1,0,1
1886,2,0,1730,0,7,0,0,1,0,1
1887,13,0,3216,0,24,0,0,1,0,1
1887,2,0,1864,0,8,0,0,1,0,1
1887,1569,0,1568,0,0,0,0,0,0,0
1888,545,0,1568,0,0,0,0,0,0,0
1888,50,0,3216,0,8,0,0,1,0,1
1888,51,0,3267,0,3,0,0,1,0,1
1888,33,0,1568,0,0,0,0,0,0,0
1888,1573,0,1584,0,0,0,0,0,1,0
1889,549,0,1584,0,0,0,0,0,1,0
1889,37,0,1584,0,0,0,0,0,3,0
1889,13,0,3216,0,25,0,0,1,0,1
1889,1571,0,1725,0,0,0,0,0,0,0
1890,547,0,1725,0,0,0,0,0,0,0
1890,50,0,3216,0,9,0,0,1,0,1
1890,35,0,1725,0,0,0,0,0,0,0
1890,13,0,3263,0,26,0,0,1,0,1
1890,1572,0,1730,0,0,0,0,0,0,0
1891,548,0,1730,0,0,0,0,0,0,0
1891,50,0,3263,0,10,0,0,1,0,1
1891,36,0,1730,0,0,0,0,0,0,0
1891,13,0,3267,0,27,0,0,1,0,1
1892,51,0,3267,0,4,0,0,1,0,1
1892,13,0,3216,0,28,0,0,1,0,1
1892,2,0,1584,0,9,0,0,1,0,1
1892,1574,0,1864,0,0,0,0,0,0,0
1893,550,0,1864,0,0,0,0,0,0,0
1893,50,0,3216,0,11,0,0,1,0,1
1893,38,0,1864,0,0,0,0,0,0,0
1893,37,0,1584,0,1,0,1,1,3,1
1893,13,0,3267,0,29,0,0,1,0,1
1893,88,0,0,0,0,0,0,0,4,0
1894,88,0,0,0,0,0,0,0,4,0
1894,51,0,3267,0,5,0,0,1,0,1
1894,24,0,0,0,0,0,0,0,4,0
1894,13,0,3290,0,30,0,0,1,0,1
1894,106,0,0,0,0,0,0,0,4,0
1895,106,0,0,0,0,0,0,0,4,0
1895,51,0,3290,0,6,0,0,1,0,1
1895,42,0,0,0,0,0,0,0,4,0
1895,13,0,3328,0,31,0,0,1,0,1
1896,13,0,3304,0,32,0,0,1,0,1
1897,51,0,3304,0,7,0,0,1,0,1
1897,13,0,3328,0,33,0,0,1,0,1
1899,13,0,3354,0,34,0,0,1,0,1
1899,1204,0,3328,0,0,0,0,0,0,0
1900,180,0,3328,0,0,0,0,0,0,0
1900,52,0,3328,0,0,0,0,0,0,0
1900,52,0,3354,0,1,0,0,1,0,1
1900,2,0,1584,0,10,0,0,1,0,1
1901,37,0,1584,0,2,0,1,1,3,1
1904,13,0,3385,0,35,0,0,1,0,1
1904,2,0,3219,0,11,0,0,1,0,1
1904,77,0,0,0,0,0,0,0,4,0
1905,77,0,0,0,0,0,0,0,4,0
1905,52,0,3385,0,2,0,0,1,0,1
1905,13,0,0,0,0,0,0,0,4,0
1905,13,0,3410,0,36,0,0,1,0,1
1906,13,0,2931,0,37,0,0,1,0,1
1907,45,0,2931,0,1,0,0,1,0,1
1907,15,0,1158,0,4,0,0,1,0,1
1907,2,0,1584,0,12,0,0,1,0,1
1907,74,0,0,0,0,0,0,0,4,0
1908,74,0,0,0,0,0,0,0,4,0
1908,18,0,1158,0,1,0,0,1,0,1
1908,10,0,0,0,0,0,0,0,4,0
1908,37,0,1584,0,3,0,1,1,3,1
1908,14,0,816,0,22,0,0,1,0,1
1908,1579,0,3219,0,0,0,0,0,0,0
1909,555,0,3219,0,0,0,0,0,0,0
1909,43,0,3219,0,0,0,0,0,0,0
1909,14,0,832,0,23,0,0,1,0,1
1909,1205,0,3410,0,0,0,0,0,0,0
1910,181,0,3410,0,0,0,0,0,0,0
1910,53,0,3410,0,0,0,0,0,0,0
1910,14,0,854,0,24,0,0,1,0,1
1910,2,0,3219,0,13,0,0,1,0,1
1910,122,0,0,0,0,0,0,0,4,0
1911,122,0,0,0,0,0,0,0,4,0
1911,58,0,0,0,0,0,0,0,4,0
1911,43,0,3219,0,1,0,0,1,0,1
1912,14,0,877,0,25,0,0,1,0,1
1912,1932,0,816,0,0,0,0,0,0,0
1913,908,0,816,0,0,0,0,0,0,0
1913,12,0,816,0,0,0,0,0,0,0
1913,27,0,1736,0,1,0,0,1,0,1
1913,2,0,1584,0,14,0,0,1,0,1
1913,1933,0,832,0,0,0,0,0,0,0
1914,909,0,832,0,0,0,0,0,0,0
1914,13,0,877,0,0,0,0,0,0,0
1914,37,0,1584,0,4,0,1,1,3,1
1914,14,0,1603,0,26,0,0,1,0,1
1916,2,0,3219,0,15,0,0,1,0,1
1917,1945,0,1603,0,0,0,0,0,0,0
1918,921,0,1603,0,0,0,0,0,0,0
1918,25,0,1603,0,0,0,0,0,0,0
1918,2,0,1584,0,16,0,0,1,0,1
1919,37,0,1584,0,5,0,1,1,3,1
1919,1578,0,3219,0,0,0,0,0,0,0
1920,554,0,3219,0,0,0,0,0,0,0
1920,42,1,3219,0,0,0,0,0,0,0
1921,2,0,1680,0,17,0,0,1,0,1
1922,37,0,1680,0,6,0,1,1,3,1
1922,2,0,1684,0,18,0,0,1,0,1
1923,37,0,1684,0,7,0,1,1,3,1
1923,2,0,1707,0,19,0,0,1,0,1
1924,36,0,1707,0,1,0,0,1,3,1
1924,2,0,1717,0,20,0,0,1,0,1
1925,36,0,1717,0,2,0,1,1,3,1
1926,2,0,1060,0,21,0,0,1,0,1
1927,36,0,1060,0,3,0,1,1,3,1
1927,2,0,1849,0,22,0,0,1,0,1
1928,2,0,1869,0,23,0,0,1,0,1
1929,2,0,1869,0,24,0,0,1,0,1
1930,2,0,1869,0,25,0,0,1,0,1
1931,2,0,1869,0,26,0,0,1,0,1
1932,2,0,1869,0,27,0,0,1,0,1
1932,1588,0,1849,0,0,0,0,0,1,0
1933,564,0,1849,0,0,0,0,0,1,0
